Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
80,18,2,12,6,6,6.0,0.0,0,0,0.0,0.0,666666.6667,111111.1111,18.0,0.0,18,18,18,18.0,0.0,18,18,0,0.0,0.0,0.0,0.0,40.0,0.0,111111.1111,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,16281.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,166,2,82,41,41,41.0,0.0,105,105,105.0,0.0,1759036.145,24096.38554,55.33333333,90.64399226,160,3,3,3.0,0.0,3,3,3,3.0,0.0,3.0,3.0,64.0,40.0,12048.19277,12048.19277,41.0,105.0,66.6,35.05424368,1228.8,0.0,0.0,0.0,83.25,82.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
981,45,1,0,0,0,0.0,0.0,6,6,6.0,0.0,133333.3333,44444.44444,45.0,0.0,45,45,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,22222.22222,22222.22222,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50006,26,1,2,2,2,2.0,0.0,6,6,6.0,0.0,307692.3077,76923.07692,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,38461.53846,38461.53846,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,434607,4,128,32,32,32.0,0.0,268,268,268.0,0.0,1527.817085,13.80557607,86921.4,180891.4005,409946,3,24658,8219.333333,14231.10679,24652,3,3,3.0,0.0,3.0,3.0,80.0,64.0,9.203717381,4.601858691,32.0,268.0,99.42857143,115.1562086,13260.95238,0.0,0.0,0.0,116.0,128.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,5750259,8,646,342,0,80.75,132.0202906,1400,0,466.6666667,665.1549193,599.2773543,2.434672943,442327.6154,1516025.189,5486477,3,5750259,821465.5714,2057921.695,5486477,3,229078,45815.6,54532.65351,132889.0,48.0,184.0,132.0,1.391241681,1.043431261,0.0,1400.0,229.7333333,455.2339221,207237.9238,0.0,1.0,0.0,246.1428571,646.0,8192.0,11256.0,6.0,20.0,263779.0,263779.0,263779.0,5486477.0,5486477.0,5486477.0,1
2800,49,1,0,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,20408.16327,20408.16327,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,96760,4,140,35,35,35.0,0.0,177,177,177.0,0.0,5105.415461,62.00909467,19352.0,29293.00059,66047,3,30709,10236.33333,17723.78725,30702,3,4,4.0,0.0,4.0,4.0,128.0,64.0,41.33939644,20.66969822,35.0,177.0,75.57142857,69.28890518,4800.952381,0.0,0.0,0.0,88.16666667,140.0,-1.0,-1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,181,2,12,6,6,6.0,0.0,0,0,0.0,0.0,66298.34254,11049.72376,181.0,0.0,181,181,181,181.0,0.0,181,181,0,0.0,0.0,0.0,0.0,40.0,0.0,11049.72376,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,64209.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5904,79,1,0,0,0,0.0,0.0,6,6,6.0,0.0,75949.36709,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,12658.22785,12658.22785,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,165,2,102,51,51,51.0,0.0,112,112,112.0,0.0,1975757.576,24242.42424,55.0,88.33459119,157,4,4,4.0,0.0,4,4,4,4.0,0.0,4.0,4.0,64.0,64.0,12121.21212,12121.21212,51.0,112.0,75.4,33.41107601,1116.3,0.0,0.0,0.0,94.25,102.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,242,2,78,39,39,39.0,0.0,179,179,179.0,0.0,1801652.893,16528.92562,80.66666667,132.7905619,234,4,4,4.0,0.0,4,4,4,4.0,0.0,4.0,4.0,40.0,40.0,8264.46281,8264.46281,39.0,179.0,95.0,76.68115805,5880.0,0.0,0.0,0.0,118.75,78.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1165,55,1,0,0,0,0.0,0.0,6,6,6.0,0.0,109090.9091,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,18181.81818,18181.81818,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
311,30,1,2,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,33333.33333,33333.33333,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
56072,20349,3,50,38,6,16.66666667,18.47520861,6,6,6.0,0.0,2751.977984,196.569856,6783.0,11676.68399,20266,3,20349,10174.5,14384.67325,20346,3,0,0.0,0.0,0.0,0.0,60.0,20.0,147.427392,49.142464,6.0,38.0,12.4,14.31083506,204.8,0.0,0.0,1.0,15.5,50.0,351.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57163,1771,3,43,31,6,14.33333333,14.43375673,0,0,0.0,0.0,24280.06776,1693.958216,885.5,1250.871896,1770,1,1771,885.5,1250.871896,1770,1,0,0.0,0.0,0.0,0.0,60.0,0.0,1693.958216,0.0,6.0,31.0,12.25,12.5,156.25,0.0,0.0,1.0,16.33333333,43.0,946.0,-1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55669,139,1,6,6,6,6.0,0.0,6,6,6.0,0.0,86330.93525,14388.48921,139.0,0.0,139,139,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,7194.244604,7194.244604,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,6.0,31.0,255.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
636,13,1,0,0,0,0.0,0.0,6,6,6.0,0.0,461538.4615,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,76923.07692,76923.07692,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7741,74,1,2,2,2,2.0,0.0,6,6,6.0,0.0,108108.1081,27027.02703,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,13513.51351,13513.51351,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,209,2,70,35,35,35.0,0.0,67,67,67.0,0.0,976076.555,19138.75598,69.66666667,37.5277675,113,48,48,48.0,0.0,48,48,48,48.0,0.0,48.0,48.0,40.0,40.0,9569.37799,9569.37799,35.0,67.0,47.8,17.52712184,307.2,0.0,0.0,0.0,59.75,70.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,156314,2,68,34,34,34.0,0.0,91,91,91.0,0.0,1599.344908,25.58951853,52104.66667,90241.8678,156307,3,3,3.0,0.0,3,3,4,4.0,0.0,4.0,4.0,40.0,64.0,12.79475927,12.79475927,34.0,91.0,56.8,31.22018578,974.7,0.0,0.0,0.0,71.0,68.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,5510563,4,12,6,0,3.0,3.464101615,0,0,0.0,0.0,2.177635933,1.088817967,1102112.6,1937484.772,4482669,46,5510563,1836854.333,2341654.198,4482669,31150,996721,996721.0,0.0,996721.0,996721.0,104.0,64.0,0.725878644,0.362939322,0.0,6.0,1.714285714,2.927700219,8.571428571,0.0,1.0,0.0,2.0,12.0,8192.0,29200.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,31199,2,70,35,35,35.0,0.0,124,124,124.0,0.0,10192.63438,128.2092375,10399.66667,18006.68888,31192,3,3,3.0,0.0,3,3,4,4.0,0.0,4.0,4.0,40.0,64.0,64.10461874,64.10461874,35.0,124.0,70.6,48.74730762,2376.3,0.0,0.0,0.0,88.25,70.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,192724,2,12,6,6,6.0,0.0,0,0,0.0,0.0,62.26520828,10.37753471,192724.0,0.0,192724,192724,192724,192724.0,0.0,192724,192724,0,0.0,0.0,0.0,0.0,40.0,0.0,10.37753471,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,63423.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,30696,1,42,42,42,42.0,0.0,58,58,58.0,0.0,3257.753453,65.15506906,30696.0,0.0,30696,30696,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,32.0,32.57753453,32.57753453,42.0,58.0,47.33333333,9.237604307,85.33333333,0.0,0.0,0.0,71.0,42.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
443,13,1,6,6,6,6.0,0.0,31,6,14.33333333,14.43375673,3769230.769,307692.3077,4.333333333,5.773502692,11,1,0,0.0,0.0,0,0,12,6.0,7.071067812,11.0,1.0,20.0,60.0,76923.07692,230769.2308,6.0,31.0,11.0,11.18033989,125.0,1.0,0.0,1.0,13.75,6.0,0.0,946.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25734,43,1,2,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,23255.81395,23255.81395,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,48066,2,56,28,28,28.0,0.0,238,238,238.0,0.0,11068.11468,83.21890734,16022.0,27743.98984,48058,4,4,4.0,0.0,4,4,4,4.0,0.0,4.0,4.0,64.0,64.0,41.60945367,41.60945367,28.0,238.0,112.0,115.0217371,13230.0,0.0,0.0,0.0,140.0,56.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,5827849,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.686359581,1942616.333,3332845.904,5790997,82,5827849,2913924.5,4068794.949,5790997,36852,0,0.0,0.0,0.0,0.0,104.0,40.0,0.514769686,0.171589895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29200.0,42408.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,8022053,8,1184,414,0,148.0,204.4553741,189,0,94.5,103.5195634,218.2733024,1.745189168,617081.0,1454693.315,5141830,52,2880223,411460.4286,673353.2572,1548520,172,7996912,1599382.4,2103622.853,5141888.0,1625.0,264.0,200.0,0.997250953,0.747938215,0.0,414.0,116.7333333,162.7023868,26472.06667,0.0,1.0,0.0,125.0714286,1184.0,29200.0,70.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2043,71,1,2,2,2,2.0,0.0,6,6,6.0,0.0,112676.0563,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24.0,20.0,14084.50704,14084.50704,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,1.0,0.0,5.0,2.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2007,5,1,0,0,0,0.0,0.0,6,6,6.0,0.0,1200000.0,400000.0,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,200000.0,200000.0,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,30457,1,50,50,50,50.0,0.0,66,66,66.0,0.0,3808.648258,65.66634928,30457.0,0.0,30457,30457,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,32.83317464,32.83317464,50.0,66.0,55.33333333,9.237604307,85.33333333,0.0,0.0,0.0,83.0,50.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,5477835,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,2.190646487,0.730215496,1825945.0,3149479.144,5462640,115,5477835,2738917.5,3851925.3,5462640,15195,0,0.0,0.0,0.0,0.0,72.0,32.0,0.547661622,0.182553874,0.0,6.0,2.4,3.286335345,10.8,0.0,1.0,0.0,3.0,12.0,8192.0,29200.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,116468824,2,92,50,42,46.0,5.656854249,134,123,128.5,7.778174593,2.996510036,0.034343955,38800000.0,67200000.0,116000000,47813,116000000,116000000.0,0.0,116000000,116000000,116000000,116000000.0,0.0,116000000.0,116000000.0,52.0,52.0,0.017171977,0.017171977,42.0,134.0,79.8,44.74594954,2002.2,0.0,0.0,0.0,99.75,92.0,-1.0,-1.0,1.0,20.0,47813.0,47813.0,47813.0,116000000.0,116000000.0,116000000.0,1
888,70,1,0,0,0,0.0,0.0,6,6,6.0,0.0,85714.28571,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,40.0,20.0,14285.71429,14285.71429,0.0,6.0,2.0,3.464101615,12.0,0.0,1.0,0.0,3.0,0.0,29200.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,56001,4,152,38,38,38.0,0.0,102,102,102.0,0.0,9999.821432,142.8545919,8000.142857,21002.86368,55630,3,55827,18609.0,32226.53733,55821,3,55855,18618.33333,32163.89483,55758.0,48.0,104.0,104.0,71.42729594,71.42729594,38.0,102.0,66.44444444,33.73096171,1137.777778,0.0,0.0,0.0,74.75,152.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,30725,1,47,47,47,47.0,0.0,175,175,175.0,0.0,7225.386493,65.09357201,30725.0,0.0,30725,30725,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,32.546786,32.546786,47.0,175.0,89.66666667,73.90083446,5461.333333,0.0,0.0,0.0,134.5,47.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
